name,start,end,length,free_flow_speed
80,24,630,386.3,11.11
81,25,26,226.9,11.11
82,25,27,609.7,11.11
83,25,28,416.5,11.11
84,25,544,508.3,11.11
85,26,27,413.4,11.11
86,26,544,419.5,11.11
87,27,28,482.7,11.11
88,27,29,505.0,11.11
89,27,30,770.3,11.11
90,27,234,1080.0,11.11
91,27,235,1181.9,11.11
92,27,544,713.3,11.11
93,28,29,65.5,11.11
94,28,30,830.4,11.11
95,30,31,1190.0,11.11
96,30,235,1089.9,11.11
97,30,607,1548.1,11.11
98,31,32,502.4,11.11
99,31,34,954.4,11.11
100,31,35,973.0,11.11
101,31,36,944.1,11.11
102,31,51,1082.8,11.11
103,31,52,1083.2,11.11
104,31,235,1273.4,11.11
105,31,589,1014.8,11.11
106,31,607,639.4,11.11
107,32,33,617.8,11.11
108,32,34,717.9,11.11
109,32,35,848.1,11.11
110,33,34,185.9,11.11
111,33,522,703.5,11.11
112,34,35,220.6,11.11
113,34,41,275.6,11.11
114,34,42,228.5,11.11
115,34,522,562.5,11.11
116,35,36,92.7,11.11
117,35,41,99.8,11.11
118,35,589,265.1,11.11
119,35,592,251.3,11.11
120,36,589,182.7,11.11
121,37,38,100.2,11.11
122,37,44,126.2,11.11
123,37,45,183.8,11.11
124,37,592,195.2,11.11
125,37,593,136.8,11.11
126,38,39,92.4,11.11
127,38,40,161.1,11.11
128,38,43,232.2,11.11
129,38,44,188.2,11.11
130,38,592,149.2,11.11
131,38,593,186.8,11.11
132,39,40,97.5,11.11
133,39,41,192.9,11.11
134,39,42,252.9,11.11
135,39,43,293.0,11.11
136,40,41,127.1,11.11
137,40,42,225.3,11.11
138,40,592,78.5,11.11
139,41,42,119.0,11.11
140,41,592,196.3,11.11
141,42,43,512.6,11.11
142,42,522,341.9,11.11
143,43,44,134.2,11.11
144,43,46,261.5,11.11
145,43,506,353.2,11.11
146,43,507,256.6,11.11
147,43,522,278.2,11.11
148,43,619,395.3,11.11
149,44,45,165.6,11.11
150,44,46,180.8,11.11
151,45,46,151.7,11.11
152,45,47,221.2,11.11
153,45,48,147.9,11.11
154,45,49,116.7,11.11
155,45,508,597.3,11.11
156,45,552,172.6,11.11
157,45,593,217.1,11.11
158,46,507,290.7,11.11
159,46,508,573.5,11.11
160,46,552,190.4,11.11
161,46,619,233.6,11.11
162,46,624,666.9,11.11
163,47,48,108.6,11.11
164,47,50,183.1,11.11
165,47,53,118.2,11.11
166,47,54,139.2,11.11
167,47,55,171.2,11.11
168,47,552,169.7,11.11
169,47,554,205.9,11.11
170,48,49,81.4,11.11
171,48,50,109.2,11.11
172,48,53,155.4,11.11
173,48,552,195.6,11.11
174,49,50,118.6,11.11
175,49,593,130.4,11.11
176,50,51,113.1,11.11
177,50,52,288.9,11.11
178,50,53,147.6,11.11
179,50,590,186.4,11.11
180,50,593,159.2,11.11
181,51,52,218.6,11.11
182,51,53,177.6,11.11
183,51,589,242.2,11.11
184,51,590,190.6,11.11
185,51,593,220.9,11.11
186,52,53,206.2,11.11
187,52,54,219.3,11.11
188,52,55,338.5,11.11
189,52,56,349.9,11.11
190,52,237,269.3,11.11
191,52,238,266.9,11.11
192,52,239,224.5,11.11
193,52,242,207.2,11.11
194,52,243,321.6,11.11
195,52,602,158.4,11.11
196,52,607,701.8,11.11
197,53,54,95.7,11.11
198,54,55,127.4,11.11
199,55,56,171.3,11.11
200,55,57,201.3,11.11
201,55,554,131.9,11.11
202,56,57,84.8,11.11
203,56,58,139.4,11.11
204,56,59,162.2,11.11
205,56,241,102.5,11.11
206,56,242,142.7,11.11
207,57,58,126.7,11.11
208,57,510,146.5,11.11
209,57,513,126.1,11.11
210,57,554,262.3,11.11
211,58,59,95.1,11.11
212,58,60,77.3,11.11
213,58,513,117.7,11.11
214,59,60,115.8,11.11
215,59,240,129.6,11.11
216,59,241,129.9,11.11
217,59,243,122.2,11.11
218,59,244,177.9,11.11
219,60,61,102.1,11.11
220,60,243,227.7,11.11
221,60,244,247.9,11.11
222,60,245,137.1,11.11
223,60,513,143.3,11.11
224,61,62,65.1,11.11
225,61,63,156.1,11.11
226,61,244,330.7,11.11
227,61,245,187.4,11.11
228,61,512,223.3,11.11
229,61,513,146.6,11.11
230,61,514,241.0,11.11
231,61,515,163.6,11.11
232,62,63,108.5,11.11
233,62,64,117.4,11.11
234,62,515,126.9,11.11
235,63,64,91.3,11.11
236,63,65,137.7,11.11
237,63,66,102.2,11.11
238,63,67,98.7,11.11
239,63,245,134.9,11.11
240,64,65,156.3,11.11
241,64,66,151.4,11.11
242,64,81,110.7,11.11
243,64,82,179.0,11.11
244,64,83,103.1,11.11
245,64,85,213.8,11.11
246,64,515,146.2,11.11
247,65,66,53.4,11.11
248,65,71,270.6,11.11
249,65,72,173.5,11.11
250,65,74,168.0,11.11
251,65,81,175.2,11.11
252,65,82,84.3,11.11
253,66,67,83.3,11.11
254,66,68,109.4,11.11
255,66,71,250.7,11.11
256,66,72,177.3,11.11
257,67,68,53.9,11.11
258,67,70,188.1,11.11
259,67,245,82.3,11.11
260,68,69,101.8,11.11
261,68,70,137.4,11.11
262,68,71,182.0,11.11
263,69,70,94.6,11.11
264,69,71,80.8,11.11
265,70,71,115.5,11.11
266,70,244,101.6,11.11
267,70,245,185.7,11.11
268,70,607,709.5,11.11
269,71,72,128.7,11.11
270,71,244,217.1,11.11
271,71,603,731.4,11.11
272,71,607,698.0,11.11
273,72,73,113.0,11.11
274,72,74,105.9,11.11
275,72,82,215.9,11.11
276,72,95,698.1,11.11
277,72,603,802.5,11.11
278,72,606,629.2,11.11
279,73,74,84.5,11.11
280,73,95,637.9,11.11
281,74,75,91.5,11.11
282,74,76,157.0,11.11
283,74,82,163.9,11.11
284,74,95,593.5,11.11
285,74,545,270.6,11.11
286,75,76,126.2,11.11
287,75,77,162.8,11.11
288,75,82,127.0,11.11
289,75,545,179.1,11.11
290,76,77,95.4,11.11
291,76,95,479.9,11.11
292,77,95,384.6,11.11
293,77,545,154.4,11.11
294,78,79,76.8,11.11
295,78,80,142.5,11.11
296,78,82,201.6,11.11
297,78,93,198.4,11.11
298,78,545,101.5,11.11
299,79,80,169.5,11.11
300,79,81,189.3,11.11
301,79,84,98.4,11.11
302,79,93,159.0,11.11
303,79,94,162.7,11.11
304,80,81,58.4,11.11
305,80,82,101.1,11.11
306,80,545,198.2,11.11
307,81,82,141.0,11.11
308,81,83,76.7,11.11
309,81,84,157.4,11.11
310,82,545,208.4,11.11
311,83,84,157.5,11.11
312,83,85,114.7,11.11
313,84,85,125.4,11.11
314,84,92,111.2,11.11
315,84,94,205.6,11.11
316,85,86,73.4,11.11
317,85,92,188.4,11.11
318,85,515,158.7,11.11
319,85,516,127.9,11.11
320,86,87,66.7,11.11
321,86,91,173.0,11.11
322,86,92,176.7,11.11
323,86,515,205.7,11.11
324,86,516,113.8,11.11
325,87,88,65.2,11.11
326,87,91,149.5,11.11
327,87,516,139.2,11.11
328,87,517,206.7,11.11
329,88,89,61.9,11.11
330,88,90,183.1,11.11
331,88,91,137.9,11.11
332,88,516,193.5,11.11
333,88,517,220.3,11.11
334,89,90,176.6,11.11
335,90,91,134.3,11.11
336,90,93,329.3,11.11
337,90,95,547.3,11.11
338,90,96,248.1,11.11
339,90,139,184.5,11.11
340,90,517,395.1,11.11
341,90,542,489.6,11.11
342,91,92,100.3,11.11
343,91,93,247.1,11.11
344,92,93,175.6,11.11
345,92,94,134.4,11.11
346,93,94,53.0,11.11
347,93,95,255.8,11.11
348,93,545,247.8,11.11
349,95,96,400.3,11.11
350,95,100,439.0,11.11
351,95,102,508.6,11.11
352,95,103,662.2,11.11
353,95,107,433.9,11.11
354,95,214,468.2,11.11
355,95,246,405.3,11.11
356,95,247,328.3,11.11
357,95,545,340.5,11.11
358,95,603,1303.1,11.11
359,95,606,729.7,11.11
360,96,97,135.4,11.11
361,96,98,128.0,11.11
362,96,100,220.7,11.11
363,96,139,144.9,11.11
364,96,140,108.1,11.11
365,97,98,103.7,11.11
366,97,99,120.2,11.11
367,97,100,85.4,11.11
368,98,99,60.1,11.11
369,98,139,151.0,11.11
370,98,140,89.2,11.11
371,99,100,148.5,11.11
372,99,101,121.6,11.11
373,99,138,158.2,11.11
374,99,139,199.2,11.11
375,99,140,141.7,11.11
376,100,101,150.7,11.11
377,100,102,88.7,11.11
378,101,102,119.0,11.11
379,101,103,274.1,11.11
380,101,136,272.2,11.11
381,101,137,83.5,11.11
382,101,138,107.0,11.11
383,102,103,216.5,11.11
384,102,107,346.9,11.11
385,103,104,83.4,11.11
386,103,105,161.4,11.11
387,103,107,340.0,11.11
388,103,119,233.3,11.11
389,103,121,272.9,11.11
390,103,122,224.6,11.11
391,103,123,271.9,11.11
392,103,136,152.4,11.11
393,104,105,79.3,11.11
394,105,106,69.9,11.11
395,105,107,211.0,11.11
396,105,119,128.9,11.11
397,106,107,156.5,11.11
398,107,108,198.4,11.11
399,107,109,251.7,11.11
400,107,110,301.9,11.11
401,107,119,300.4,11.11
402,107,120,260.2,11.11
403,107,247,285.3,11.11
404,107,254,279.8,11.11
405,107,257,223.2,11.11
406,108,109,59.8,11.11
407,109,110,90.5,11.11
408,109,111,98.9,11.11
409,109,112,143.0,11.11
410,109,120,132.2,11.11
411,110,111,119.0,11.11
412,110,192,228.4,11.11
413,110,193,89.5,11.11
414,110,254,183.0,11.11
415,111,112,94.0,11.11
416,111,113,116.6,11.11
417,111,192,160.8,11.11
418,112,113,117.0,11.11
419,112,114,106.7,11.11
420,112,117,93.3,11.11
421,112,118,123.7,11.11
422,112,120,110.9,11.11
423,113,114,113.7,11.11
424,113,115,162.1,11.11
425,113,189,155.7,11.11
426,113,192,106.3,11.11
427,114,115,83.5,11.11
428,114,116,89.4,11.11
429,114,117,79.0,11.11
430,115,116,91.9,11.11
431,115,182,170.0,11.11
432,115,183,193.7,11.11
433,115,184,174.1,11.11
434,115,185,85.7,11.11
435,115,187,116.7,11.11
436,115,189,167.4,11.11
437,116,117,89.8,11.11
438,116,118,107.8,11.11
439,116,121,130.1,11.11
440,116,182,138.5,11.11
441,116,183,125.2,11.11
442,117,118,46.5,11.11
443,118,119,90.2,11.11
444,118,120,124.2,11.11
445,118,121,110.1,11.11
446,118,183,181.5,11.11
447,119,120,91.4,11.11
448,119,121,143.1,11.11
449,121,122,77.0,11.11
450,121,123,153.7,11.11
451,121,183,103.8,11.11
452,122,123,93.8,11.11
453,123,124,96.3,11.11
454,123,127,145.1,11.11
455,123,134,175.4,11.11
456,123,135,291.5,11.11
457,123,136,248.2,11.11
458,123,183,158.0,11.11
459,124,125,90.9,11.11
460,124,126,116.4,11.11
461,124,127,147.3,11.11
462,124,134,83.3,11.11
463,125,126,71.4,11.11
464,125,127,123.8,11.11
465,125,129,72.1,11.11
466,125,130,106.6,11.11
467,125,131,111.6,11.11
468,125,132,103.4,11.11
469,125,134,110.3,11.11
470,126,127,53.2,11.11
471,126,128,52.1,11.11
472,126,129,82.1,11.11
473,127,128,77.2,11.11
474,127,164,154.7,11.11
475,127,180,104.4,11.11
476,127,181,76.9,11.11
477,127,183,177.4,11.11
478,128,129,56.9,11.11
479,128,164,87.3,11.11
480,129,130,68.0,11.11
481,129,162,107.2,11.11
482,129,164,94.5,11.11
483,130,131,79.7,11.11
484,130,133,157.9,11.11
485,130,161,138.7,11.11
486,130,162,88.4,11.11
487,130,164,127.7,11.11
488,131,132,49.7,11.11
489,131,133,78.6,11.11
490,131,161,201.2,11.11
491,132,133,51.0,11.11
492,132,134,79.3,11.11
493,133,134,100.4,11.11
494,133,135,205.2,11.11
495,133,151,83.2,11.11
496,133,160,260.7,11.11
497,133,161,275.3,11.11
498,134,135,180.5,11.11
499,134,136,216.2,11.11
500,135,136,114.9,11.11
501,135,137,244.0,11.11
502,135,138,298.8,11.11
503,135,150,129.9,11.11
504,135,151,228.0,11.11
505,135,542,863.9,11.11
506,136,137,218.2,11.11
507,136,138,292.1,11.11
508,137,138,79.2,11.11
509,138,139,317.1,11.11
510,138,150,312.4,11.11
511,138,542,624.1,11.11
512,139,140,62.8,11.11
513,139,542,494.8,11.11
514,141,142,72.2,11.11
515,141,148,171.3,11.11
516,141,542,436.5,11.11
517,142,143,99.0,11.11
518,142,144,115.6,11.11
519,142,148,157.6,11.11
520,142,542,444.4,11.11
521,143,144,99.2,11.11
522,143,145,176.1,11.11
523,143,146,86.6,11.11
524,143,147,253.0,11.11
525,143,148,156.3,11.11
526,143,542,503.7,11.11
527,144,542,414.1,11.11
528,145,146,103.4,11.11
529,145,147,240.0,11.11
530,145,542,569.7,11.11
531,145,601,312.8,11.11
532,146,147,195.9,11.11
533,146,542,560.4,11.11
534,147,148,250.3,11.11
535,147,149,213.2,11.11
536,147,154,182.3,11.11
537,147,155,334.2,11.11
538,147,476,457.9,11.11
539,147,601,494.7,11.11
540,148,149,137.9,11.11
541,148,542,599.2,11.11
542,149,150,157.2,11.11
543,149,151,253.0,11.11
544,149,152,134.9,11.11
545,149,154,161.4,11.11
546,149,542,736.9,11.11
547,150,151,195.4,11.11
548,150,152,171.3,11.11
549,150,542,793.6,11.11
550,151,152,135.7,11.11
551,151,153,158.3,11.11
552,151,156,231.0,11.11
553,151,160,265.7,11.11
554,151,161,297.8,11.11
555,151,538,141.8,11.11
556,151,539,51.9,11.11
557,152,153,141.9,11.11
558,152,154,106.2,11.11
559,152,539,148.1,11.11
560,153,154,143.3,11.11
561,153,155,207.9,11.11
562,153,156,145.5,11.11
563,153,538,79.6,11.11
564,153,539,120.5,11.11
565,154,155,244.6,11.11
566,155,156,227.2,11.11
567,155,265,193.7,11.11
568,155,266,289.1,11.11
569,155,267,260.8,11.11
570,155,268,380.4,11.11
571,155,269,459.5,11.11
572,155,271,472.1,11.11
573,155,476,219.4,11.11
574,155,601,738.9,11.11
575,156,157,41.3,11.11
576,156,159,130.5,11.11
577,156,160,130.7,11.11
578,156,265,146.6,11.11
579,156,538,93.0,11.11
580,156,548,173.8,11.11
581,157,158,77.9,11.11
582,157,159,99.6,11.11
583,157,548,135.2,11.11
584,158,159,69.7,11.11
585,158,264,86.5,11.11
586,158,548,76.7,11.11
587,159,160,33.4,11.11
588,159,264,111.5,11.11
589,160,161,63.0,11.11
590,160,168,417.3,11.11
591,160,261,227.9,11.11
592,160,264,143.6,11.11
593,160,538,176.6,11.11
594,161,162,73.9,11.11
595,161,163,78.5,11.11
596,161,166,116.3,11.11
597,161,167,302.9,11.11
598,161,168,360.0,11.11
599,161,261,211.7,11.11
600,162,163,44.1,11.11
601,162,164,81.3,11.11
602,163,164,75.3,11.11
603,163,165,103.8,11.11
604,163,166,71.3,11.11
605,164,165,89.8,11.11
606,164,179,127.0,11.11
607,164,180,96.0,11.11
608,165,166,82.0,11.11
609,165,167,161.5,11.11
610,165,178,131.4,11.11
611,165,179,91.8,11.11
612,165,180,118.5,11.11
613,166,167,186.9,11.11
614,167,168,63.1,11.11
615,167,169,226.3,11.11
616,167,170,171.9,11.11
617,167,176,212.4,11.11
618,167,178,165.0,11.11
619,168,169,193.7,11.11
620,168,171,271.9,11.11
621,168,172,287.7,11.11
622,168,259,482.5,11.11
623,168,261,301.1,11.11
624,168,270,448.0,11.11
625,169,170,118.0,11.11
626,169,171,119.6,11.11
627,169,172,96.7,11.11
628,170,171,110.5,11.11
629,170,173,108.1,11.11
630,170,175,129.3,11.11
631,170,176,105.4,11.11
632,171,172,84.7,11.11
633,171,173,71.4,11.11
634,171,174,140.6,11.11
635,171,175,138.3,11.11
636,171,259,212.9,11.11
637,171,260,171.9,11.11
638,173,174,84.4,11.11
639,173,175,68.3,11.11
640,174,175,85.5,11.11
641,174,184,125.4,11.11
642,174,185,149.6,11.11
643,174,186,99.9,11.11
644,174,259,215.0,11.11
645,174,260,96.4,11.11
646,175,176,63.1,11.11
647,175,177,99.9,11.11
648,175,184,128.2,11.11
649,176,177,87.3,11.11
650,176,178,79.7,11.11
651,177,178,111.6,11.11
652,177,179,127.1,11.11
653,177,181,99.6,11.11
654,177,182,136.0,11.11
655,177,184,108.9,11.11
656,178,179,55.9,11.11
657,179,180,69.7,11.11
658,179,181,138.6,11.11
659,180,181,93.9,11.11
660,181,182,134.9,11.11
661,181,183,150.4,11.11
662,181,184,159.9,11.11
663,182,183,75.4,11.11
664,182,184,72.8,11.11
665,182,185,147.8,11.11
666,184,185,116.2,11.11
667,184,186,137.6,11.11
668,185,186,73.1,11.11
669,185,187,95.9,11.11
670,186,187,100.5,11.11
671,186,188,119.4,11.11
672,186,260,85.8,11.11
673,187,188,118.5,11.11
674,187,189,93.2,11.11
675,187,260,156.6,11.11
676,188,189,162.4,11.11
677,188,259,124.1,11.11
678,188,260,91.3,11.11
679,188,547,111.4,11.11
680,189,190,109.4,11.11
681,189,192,160.3,11.11
682,189,547,141.4,11.11
683,190,191,125.2,11.11
684,190,192,166.2,11.11
685,190,547,122.2,11.11
686,191,192,114.9,11.11
687,191,193,246.7,11.11
688,191,194,142.0,11.11
689,191,258,93.1,11.11
690,191,547,247.1,11.11
691,192,193,189.4,11.11
692,193,194,153.1,11.11
693,193,195,153.1,11.11
694,193,254,212.4,11.11
695,193,255,117.3,11.11
696,194,195,95.6,11.11
697,194,258,147.5,11.11
698,195,196,98.6,11.11
699,195,200,286.9,11.11
700,195,253,196.7,11.11
701,195,254,286.4,11.11
702,195,255,181.7,11.11
703,195,258,227.2,11.11
704,196,197,125.8,11.11
705,196,198,196.8,11.11
706,196,200,188.2,11.11
707,196,252,226.0,11.11
708,196,253,216.5,11.11
709,196,258,261.9,11.11
710,197,198,99.4,11.11
711,197,252,109.1,11.11
712,197,253,159.5,11.11
713,198,199,77.4,11.11
714,198,200,140.3,11.11
715,198,201,165.8,11.11
716,198,209,250.9,11.11
717,198,251,176.0,11.11
718,198,252,148.1,11.11
719,199,200,96.9,11.11
720,199,201,124.8,11.11
721,200,201,211.9,11.11
722,200,202,351.6,11.11
723,200,203,403.8,11.11
724,200,258,393.2,11.11
725,201,202,165.0,11.11
726,201,203,244.5,11.11
727,201,207,244.0,11.11
728,201,208,184.2,11.11
729,201,209,195.4,11.11
730,201,251,232.9,11.11
731,202,203,91.9,11.11
732,202,204,209.7,11.11
733,202,205,225.7,11.11
734,202,206,114.9,11.11
735,202,207,195.6,11.11
736,202,208,199.8,11.11
737,203,204,161.3,11.11
738,203,540,409.9,11.11
739,203,546,1048.6,11.11
740,204,205,192.9,11.11
741,204,223,278.0,11.11
742,204,540,255.1,11.11
743,204,546,887.4,11.11
744,205,206,124.0,11.11
745,205,207,124.6,11.11
746,205,216,210.1,11.11
747,205,220,211.1,11.11
748,205,221,170.6,11.11
749,205,222,89.4,11.11
750,205,223,190.0,11.11
751,206,207,88.1,11.11
752,207,208,85.5,11.11
753,207,215,223.1,11.11
754,207,216,192.3,11.11
755,208,209,79.7,11.11
756,208,211,200.9,11.11
757,208,215,243.1,11.11
758,208,216,239.2,11.11
759,209,210,113.1,11.11
760,209,211,155.2,11.11
761,209,215,245.2,11.11
762,209,251,146.2,11.11
763,210,211,119.2,11.11
764,210,249,147.0,11.11
765,210,251,97.7,11.11
766,211,212,115.6,11.11
767,211,213,142.3,11.11
768,211,215,146.6,11.11
769,211,249,201.6,11.11
770,212,213,133.4,11.11
771,212,214,181.1,11.11
772,212,246,204.4,11.11
773,212,249,148.5,11.11
774,213,214,185.0,11.11
775,213,215,123.6,11.11
776,214,215,308.5,11.11
777,214,216,384.1,11.11
778,214,246,237.2,11.11
779,214,247,359.5,11.11
780,214,541,423.6,11.11
781,214,606,416.7,11.11
782,215,216,78.8,11.11
783,215,541,232.5,11.11
784,216,217,130.1,11.11
785,216,218,155.5,11.11
786,216,220,123.5,11.11
787,216,541,204.3,11.11
788,217,218,80.7,11.11
789,217,541,83.0,11.11
790,218,219,45.6,11.11
791,218,220,77.1,11.11
792,218,223,224.8,11.11
793,218,541,74.3,11.11
794,219,220,65.0,11.11
795,219,223,183.4,11.11
796,219,541,109.1,11.11
797,220,221,50.1,11.11
798,220,223,167.7,11.11
799,221,222,87.7,11.11
800,221,223,125.2,11.11
801,222,223,115.1,11.11
802,223,228,433.4,11.11
803,223,540,111.3,11.11
804,223,541,292.3,11.11
805,224,225,106.2,11.11
806,224,226,101.4,11.11
807,224,233,151.8,11.11
808,224,540,23.1,11.11
809,225,226,82.9,11.11
810,225,228,338.0,11.11
811,225,229,141.8,11.11
812,225,230,93.4,11.11
813,225,232,117.2,11.11
814,225,233,160.7,11.11
815,226,227,122.3,11.11
816,226,228,303.6,11.11
817,226,540,102.2,11.11
818,227,228,194.9,11.11
819,227,540,216.2,11.11
820,228,229,275.3,11.11
821,228,231,376.7,11.11
822,228,235,864.5,11.11
823,228,540,404.6,11.11
824,228,541,512.4,11.11
825,228,546,300.3,11.11
826,228,606,766.5,11.11
827,229,230,61.3,11.11
828,229,231,101.7,11.11
829,230,231,68.8,11.11
830,230,232,112.7,11.11
831,231,232,94.9,11.11
832,231,546,505.9,11.11
833,232,233,97.9,11.11
834,232,546,592.3,11.11
835,233,540,172.8,11.11
836,233,546,684.8,11.11
837,234,235,628.5,11.11
838,234,544,1371.5,11.11
839,234,546,633.6,11.11
840,235,236,906.1,11.11
841,235,546,732.0,11.11
842,235,603,787.6,11.11
843,235,604,729.0,11.11
844,235,605,776.7,11.11
845,235,606,1188.9,11.11
846,235,607,1099.2,11.11
847,236,605,139.7,11.11
848,236,606,295.0,11.11
849,237,238,84.1,11.11
850,237,602,172.2,11.11
851,237,607,562.9,11.11
852,238,243,115.3,11.11
853,238,244,149.5,11.11
854,238,607,646.0,11.11
855,239,240,64.4,11.11
856,239,242,135.5,11.11
857,239,243,100.6,11.11
858,240,241,48.3,11.11
859,240,242,107.3,11.11
860,240,243,112.0,11.11
861,241,242,89.5,11.11
862,242,243,217.2,11.11
863,243,244,100.1,11.11
864,244,245,158.1,11.11
865,244,607,731.2,11.11
866,246,247,145.7,11.11
867,246,248,126.3,11.11
868,246,249,147.7,11.11
869,246,250,235.9,11.11
870,246,253,342.2,11.11
871,246,254,302.8,11.11
872,247,253,350.0,11.11
873,247,254,250.4,11.11
874,247,256,139.8,11.11
875,247,257,87.8,11.11
876,248,249,119.0,11.11
877,248,250,116.9,11.11
878,248,253,216.4,11.11
879,249,250,148.5,11.11
880,249,251,177.8,11.11
881,250,251,173.1,11.11
882,250,252,122.7,11.11
883,250,253,115.4,11.11
884,251,252,116.6,11.11
885,252,253,122.7,11.11
886,253,254,147.7,11.11
887,254,255,108.0,11.11
888,254,256,112.0,11.11
889,254,257,174.1,11.11
890,256,257,63.4,11.11
891,258,547,295.6,11.11
892,259,260,129.6,11.11
893,259,547,179.1,11.11
894,261,262,79.4,11.11
895,261,263,137.2,11.11
896,261,264,106.3,11.11
897,261,270,186.6,11.11
898,262,263,113.4,11.11
899,262,270,117.0,11.11
900,263,264,129.5,11.11
901,263,266,107.9,11.11
902,263,268,140.5,11.11
903,263,270,104.9,11.11
904,263,548,117.9,11.11
905,264,548,85.4,11.11
906,265,266,111.8,11.11
907,265,548,107.0,11.11
908,266,267,104.8,11.11
909,266,268,125.0,11.11
910,266,548,95.3,11.11
911,267,268,124.6,11.11
912,267,269,199.0,11.11
913,268,269,99.1,11.11
914,268,270,134.7,11.11
915,269,270,171.1,11.11
916,269,271,123.0,11.11
917,269,476,423.1,11.11
918,271,272,154.0,11.11
919,271,476,376.7,11.11
920,271,536,223.7,11.11
921,272,273,129.2,11.11
922,272,277,144.1,11.11
923,272,476,344.0,11.11
924,272,535,92.5,11.11
925,272,536,115.0,11.11
926,273,274,66.1,11.11
927,273,275,150.1,11.11
928,273,277,114.3,11.11
929,273,476,223.5,11.11
930,274,275,88.4,11.11
931,274,276,80.3,11.11
932,274,277,94.3,11.11
933,275,276,81.8,11.11
934,275,278,172.4,11.11
935,275,279,200.0,11.11
936,275,307,209.5,11.11
937,275,308,134.8,11.11
938,275,476,204.3,11.11
939,275,532,173.5,11.11
940,275,543,178.8,11.11
941,276,277,89.3,11.11
942,276,278,91.1,11.11
943,277,278,84.1,11.11
944,277,280,112.3,11.11
945,277,535,84.1,11.11
946,278,279,53.0,11.11
947,278,280,110.5,11.11
948,279,280,138.9,11.11
949,279,281,110.1,11.11
950,279,282,78.5,11.11
951,279,532,119.0,11.11
952,280,281,107.3,11.11
953,280,291,331.8,11.11
954,280,534,86.0,11.11
955,280,535,82.3,11.11
956,281,282,131.3,11.11
957,281,283,117.5,11.11
958,281,291,235.8,11.11
959,281,534,153.7,11.11
960,282,283,128.7,11.11
961,282,284,93.7,11.11
962,282,285,148.2,11.11
963,282,532,111.4,11.11
964,282,533,102.5,11.11
965,283,284,109.5,11.11
966,283,286,209.2,11.11
967,283,288,155.5,11.11
968,283,289,126.2,11.11
969,283,290,123.4,11.11
970,283,291,152.7,11.11
971,284,285,96.5,11.11
972,284,286,119.7,11.11
973,284,533,118.9,11.11
974,285,286,89.8,11.11
975,285,303,164.4,11.11
976,285,304,150.6,11.11
977,285,306,104.7,11.11
978,285,533,87.1,11.11
979,286,287,98.3,11.11
980,286,288,128.1,11.11
981,286,298,117.4,11.11
982,286,303,166.4,11.11
983,286,304,193.0,11.11
984,287,288,80.4,11.11
985,287,292,139.6,11.11
986,287,297,107.8,11.11
987,287,298,91.0,11.11
988,288,289,57.6,11.11
989,288,292,124.8,11.11
990,289,290,57.1,11.11
991,289,291,111.8,11.11
992,289,292,130.8,11.11
993,290,291,55.2,11.11
994,291,292,185.4,11.11
995,291,293,298.9,11.11
996,291,294,375.5,11.11
