name, start, end, length
215, 104, 135, 0.589
216, 69, 70, 0.545
217, 69, 80, 0.560
218, 80, 85, 0.273
219, 84, 85, 0.452
220, 81, 84, 0.297
221, 80, 81, 0.367
222, 79, 81, 0.684
223, 81, 82, 0.499
224, 69, 82, 0.178
225, 82, 83, 0.227
226, 77, 83, 0.509
227, 77, 78, 0.489
228, 77, 79, 0.585
229, 111, 114, 0.422
230, 112, 136, 0.158
231, 132, 137, 0.09
232, 138, 140, 0.189
233, 136, 138, 0.259
234, 138, 139, 0.348
235, 90, 139, 0.264
236, 127, 138, 0.101
237, 96, 137, 0.221
238, 17, 127, 0.401
239, 137, 140, 0.212
240, 112, 140, 0.255

